Date,Open,High,Low,Close,Adj Close,Volume
7/11/2016,59.259998,59.75,59.200001,57.616947,59.34,7336700
7/12/2016,59.27,59.790001,59.080002,57.869396,59.599998,8401300
7/13/2016,59.779999,59.950001,59.48,57.82085,59.549999,6793200
7/14/2016,59.869999,59.93,59.48,57.917946,59.650002,7345500
7/15/2016,59.799999,59.93,59.25,57.898525,59.630001,8162700
7/18/2016,59,59.490002,58.720001,57.306236,59.02,8769200
7/19/2016,59.080002,59.5,58.560001,56.956688,58.66,8881300
7/20/2016,59,59.119999,58.759998,57.082916,58.790001,6476000
7/21/2016,59,59.110001,58.560001,57.082916,58.790001,6047100
7/22/2016,58.990002,59.080002,58.549999,57.112041,58.82,6269500
7/25/2016,58.630001,58.880001,57.98,56.859592,58.560001,8037200
7/26/2016,58.700001,58.810001,58.139999,56.665401,58.360001,7150800
7/27/2016,58.389999,58.720001,57.93,56.89843,58.599998,7888800
7/28/2016,58.52,58.59,58.110001,56.733368,58.43,7289700
7/29/2016,59.009998,59.200001,58.27,56.956688,58.66,8491200
8/1/2016,58.830002,59,58.5,56.956688,58.66,8871200
8/2/2016,58.68,58.73,58.25,56.636272,58.330002,6826300
8/3/2016,58.169998,58.299999,57.18,55.976021,57.650002,9637300
8/4/2016,57.740002,58.23,57.740002,56.1605,57.84,5541400
8/5/2016,57.84,64,57.84,62.005699,63.860001,72876000
8/8/2016,62.66,63.02,61.950001,61.034733,62.860001,25045900
8/9/2016,62.860001,63.139999,62.43,60.675484,62.490002,12234400
8/10/2016,62.09,63.099998,62.07,60.821121,62.639999,8835400
8/11/2016,62.610001,63.73,62.48,61.782375,63.630001,10365000
8/12/2016,63.139999,63.450001,62.93,61.510502,63.349998,6244300
8/15/2016,63.349998,63.75,63.209999,61.48138,63.32,6650100
8/16/2016,63,63.32,62.84,61.209507,63.040001,5680100
8/17/2016,63.029999,63.43,62.599998,61.452248,63.290001,8271500
8/18/2016,63.080002,63.639999,63.080002,61.782375,63.630001,6926600
8/19/2016,63.18,63.439999,62.869999,61.520214,63.360001,8480000
8/22/2016,63.25,63.639999,63.080002,61.7047,63.549999,6447200
8/23/2016,63.709999,63.880001,63.369999,61.733829,63.580002,5798400
8/24/2016,63.599998,63.779999,62.509998,60.908512,62.73,7482900
8/25/2016,62.860001,63.099998,62.27,60.510414,62.32,7947700
8/26/2016,62.48,62.990002,62.18,61.025028,62.849998,7793800
8/29/2016,62.919998,63.290001,62.639999,61.180378,63.009998,5575800
8/30/2016,62.959999,63.029999,62.509998,60.889091,62.709999,6178000
8/31/2016,63.080002,63.119999,62.419998,60.96677,62.790001,8860500
9/1/2016,62.700001,62.98,62.389999,61.073574,62.900002,6544700
9/2/2016,62.59,63.27,62.59,61.151249,62.98,7613200
9/6/2016,62.990002,63.470001,62.77,61.403702,63.240002,7930300
9/7/2016,63.310001,63.490002,62.599998,61.044441,62.869999,8668100
9/8/2016,62.450001,63.290001,62.330002,61.403702,63.240002,9186300
9/9/2016,62.689999,62.709999,62.32,60.675484,62.490002,12587500
9/12/2016,62,63.490002,61.91,61.355152,63.189999,10629500
9/13/2016,62.369999,62.779999,61.369999,60.455318,61.810001,10223400
9/14/2016,61.919998,62.34,61.299999,60.005398,61.349998,10421800
9/15/2016,61.240002,62.610001,61.119999,61.012825,62.380001,8997800
9/16/2016,62.450001,62.619999,62.060001,60.915016,62.279999,12432300
9/19/2016,62.540001,62.540001,61.32,59.98584,61.330002,11287700
9/20/2016,61.900002,62.41,61.689999,60.582466,61.939999,9211600
9/21/2016,62.259998,62.82,61.860001,61.325809,62.700001,7219000
9/22/2016,62.919998,63.470001,62.830002,61.638798,63.02,8447800
9/23/2016,62.869999,63.25,62.700001,61.580112,62.959999,7679800
9/26/2016,62.529999,62.580002,61.880001,60.787868,62.150002,6983800
9/27/2016,62.310001,62.700001,61.830002,61.198662,62.57,7340800
9/28/2016,63,63.48,62.5,61.912659,63.299999,11795000
9/29/2016,63.02,63.02,61.560001,60.553123,61.91,10930000
9/30/2016,61.889999,62.73,61.860001,61.042168,62.41,13605300
